ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,NUM_BOLETAS_SOBRANTES,TOTAL_CIUDADANOS_VOTARON,NUM_BOLETAS_EXTRAIDAS,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,NUEVA_ALIANZA,MORENA,ES,C_PAN_PRD,C_PRI_PVEM,CAND_IND_1,CAND_IND_2,CAND_IND_3,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,HORA_ACOPIO,HORA_CAPTURA,HORA_REGISTRO,ORIGEN,COTEJO,
30,VERACRUZ,34,CATEMACO,638,2,C,0,1,2,248,410,410,108,4,26,25,50,47,77,26,24,9,3,2, , ,0,9,410,636, ,1,D,ad0ecf1d6f4859634453dada30bf2b0ca59b8bcaec9e786b97e6f44cf9a2f706,6/4/2017 21:16,6/4/2017 21:20,6/4/2017 21:20,P , ,
30,VERACRUZ,34,CATEMACO,639,1,B,0,1,2,256,401,406,66,4,14,69,25,68,89,24,18,8,3,3, , ,0,15,406,640, ,1,D,372930c05a0ba98f91c3cb2bcb45df9697012fb43d4923cef9741efc4a61b6d2,6/4/2017 20:14,6/4/2017 20:28,6/4/2017 20:28,M , , 
30,VERACRUZ,34,CATEMACO,639,1,C,0,1,2,263,392,399,95,9,17,40,21,83,55,26,23,6,4,5, , ,0,15,399,640,Cantidad de votos es ilegible,1,D,5e709b802b97a875ad4ecb5c0286fe57eaf57b018621c9386b7d325d023e481d,6/4/2017 20:07,6/4/2017 20:11,6/4/2017 20:11,M , , 
30,VERACRUZ,34,CATEMACO,640,1,B,0,1,2,260,434,439,108,7,28,29,33,71,78,27,28,12,3,4, , ,Sin dato,11,439,677,Cantidad de votos en blanco,1,D,e4913abe3fb8d03c367fdb9f91aaa846aba67fb679af876227f6518fd49ee9d1,6/4/2017 22:26,6/4/2017 22:41,6/4/2017 22:41,P , ,
30,VERACRUZ,34,CATEMACO,640,1,C,0,1,2,270,423,428,106,3,40,23,22,71,88,15,32,7,1,0, , ,0,20,428,677, ,1,D,2a5e88b97545305f535fb7c83677ad13dc76aa86b9b46279980f49974a268c8b,6/4/2017 22:27,6/4/2017 22:42,6/4/2017 22:42,P , ,
30,VERACRUZ,34,CATEMACO,641,1,B,0,1,2,221,379,379,93,7,29,16,36,70,67,24,16,4,0,13, , ,Sin dato,Sin dato,375,578,Cantidad de votos en blanco,1,D,24a94f06b807bbb5c0dc804646b9e07585f4f43f7b9beae705bf224c5c1b1c92,6/4/2017 22:32,6/4/2017 22:45,6/4/2017 22:45,P , ,
30,VERACRUZ,34,CATEMACO,641,1,C,0,1,2,191,401,409,91,5,28,17,25,99,69,30,24,6,4,7, , ,Sin dato,4,409,578,Cantidad de votos en blanco,1,D,e082ac33e5015e716c653ff21ebc440915098cede557cd0276d4d85675fdd6aa,6/4/2017 22:35,6/4/2017 22:48,6/4/2017 22:48,P , ,
30,VERACRUZ,34,CATEMACO,642,1,B,0,1,2,184,322,322,114,1,21,21,13,40,59,11,15,12,2,3, , ,Sin dato,Sin dato,312,484,Cantidad de votos en blanco,1,D,74300784d2d26d7938639fa0a553542e943624fbe0e7da9360e254d80cdd54c7,6/4/2017 21:21,6/4/2017 21:29,6/4/2017 21:30,P , ,
30,VERACRUZ,34,CATEMACO,642,1,C,0,1,2,177,321,329,95,2,32,17,14,44,73,17,14,12,0,3, , ,1,5,329,484, ,1,D,385d28dedf91902388de68bbb1deeee6fb41aeff1973f4dc88a112306036adab,6/4/2017 21:30,6/4/2017 21:37,6/4/2017 21:37,P , ,
30,VERACRUZ,34,CATEMACO,643,1,B,0,1,2,196,381,385,126,3,26,19,18,39,70,34,26,8,6,2, , ,Sin dato,8,385,559,Cantidad de votos en blanco,1,D,0d7bc3d7463769a9ee358199e30ce1d6d2691bf1599b066a6fd3921e75e9fb44,6/4/2017 21:34,6/4/2017 21:42,6/4/2017 21:42,P , ,
30,VERACRUZ,34,CATEMACO,643,1,C,0,1,2,186,7,Sin dato,132,4,24,22,14,54,70,26,24,13,6,2, , ,Sin dato,3,394,558,Cantidad de votos en blanco,1,D,d44467d0821f00496ad442ca3599bc7ba82e4160d9550850955a7a40e5c827ee,6/4/2017 21:38,6/4/2017 21:44,6/4/2017 21:45,P , ,
30,VERACRUZ,34,CATEMACO,644,1,B,0,2,2,180,366,369,61,1,20,29,20,112,95,2,7,5,4,0, , ,0,13,369,527, ,1,D,d0dd59afd5345c77fcd4eba1d501d8223575a6ac5e2bab5120ede610670c044b,6/4/2017 20:52,6/4/2017 20:57,6/4/2017 20:57,P , ,
30,VERACRUZ,34,CATEMACO,644,1,C,0,2,2,199,347,350,70,5,10,18,32,77,89,6,10,7,2,0, , ,0,24,350,527, ,1,D,3cf7b32005ef3697ef5deb24f349dd4099b8383679d3b53b37130834cb89d1f5,6/4/2017 20:57,6/4/2017 21:01,6/4/2017 21:01,P , ,
30,VERACRUZ,34,CATEMACO,645,1,B,0,2,2,296,456,460,122,5,17,5,46,49,127,29,22,3,0,1, , ,0,34,460,734, ,1,D,41233b768d00f7752897efea2ddf4c924566c5156fbc989fe608b569995f9bcd,6/4/2017 22:13,6/4/2017 22:28,6/4/2017 22:28,P , ,
30,VERACRUZ,34,CATEMACO,645,1,E,0,2,2,137,185,192,19,1,22,7,19,46,57,4,4,4,2,Sin dato, , ,Sin dato,7,192,307,Cantidad de votos en blanco,1,D,9ec11863897dd9a370a8859671a0e0f6a6b85ace923ffb8217364138b267daaf,6/4/2017 21:01,6/4/2017 21:06,6/4/2017 21:06,P , ,
30,VERACRUZ,34,CATEMACO,646,1,B,0,2,2,200,253,258,38,2,21,10,9,59,46,6,53,1,1,3, , ,1,8,258,436, ,1,D,1f2eecb7a0e4b8c0dae0b9888f0c89ce47fb34a9f85c70b6ecf3328d557800b5,6/4/2017 22:09,6/4/2017 22:18,6/4/2017 22:18,P , ,
30,VERACRUZ,34,CATEMACO,646,1,C,0,2,2,212,245,246,19,4,20,11,14,61,45,6,45,2,1,4, , ,0,7,239,436, ,1,D,015785e1ecfb6d3cad80290b8361788a5795106c50312deb41d3b95164fdbfa7,6/4/2017 22:15,6/4/2017 22:28,6/4/2017 22:28,P , ,
30,VERACRUZ,34,CATEMACO,647,1,B,0,2,2,230,2,613,72,5,52,11,22,56,91,11,34,7,0,5, , ,Sin dato,16,382,591,Cantidad de votos en blanco,1,D,1d0858c3b64e6957aae0598ce53ccf6c1e986c8d5321bca62b0b631c2b1fbdf2,6/4/2017 22:16,6/4/2017 22:30,6/4/2017 22:30,P , ,
30,VERACRUZ,34,CATEMACO,647,1,C,0,2,2,362,362,366,74,2,62,12,24,53,67,7,41,5,1,Sin dato, , ,Sin dato,Sin dato,348,590,Cantidad de votos en blanco,1,D,e62e3388621dd0ede588c7324ed48fbac68a4f9d50ea360639b4402b948c857d,6/4/2017 23:08,6/4/2017 23:58,6/4/2017 23:58,C , ,
30,VERACRUZ,34,CATEMACO,647,2,C,0,2,2,237,371,375,69,9,47,9,40,75,77,7,29,5,0,0, , ,Sin dato,5,372,590,Cantidad de votos en blanco,1,D,8fae95da9e1b681cb31e5c32b38636ac6e3f8e254daa1367f3dbad404074cb12,6/4/2017 22:23,6/4/2017 22:40,6/4/2017 22:40,P , ,
30,VERACRUZ,34,CATEMACO,648,1,B,0,2,2,259,337,349,44,6,29,32,20,52,93,27,26,6,1,2, , ,0,11,349,586, ,1,D,c8297fc9aef4d8cb32bc3e3e08d50e95c8fabfa6ea142bbd93c298fd77964158,6/4/2017 22:10,6/4/2017 22:19,6/4/2017 22:19,P , ,
30,VERACRUZ,34,CATEMACO,649,1,B,0,2,2,133,275,281,43,3,20,42,14,38,76,16,3,1,Sin dato,Sin dato, , ,Sin dato,25,281,392,Cantidad de votos en blanco,1,D,220e4871220ad6385981777d9fc4f981a241d00a5e5380ab5c8e3c744c466475,6/4/2017 22:41,6/4/2017 22:49,6/4/2017 22:49,P , ,
30,VERACRUZ,34,CATEMACO,649,1,C,0,2,2,158,255,256,39,1,16,26,11,35,67,39,4,2,0,1, , ,Sin dato,15,256,392,Cantidad de votos en blanco,1,D,178ffffd49f699aa398818375d6075a4eee8889e17733deda3ac0f0da3ac9302,6/4/2017 22:38,6/4/2017 22:48,6/4/2017 22:48,P , ,
30,VERACRUZ,34,CATEMACO,650,1,B,0,2,2,168,430,431,68,2,23,13,36,117,111,16,23,4,0,2, , ,0,16,431,577,Cantidad de votos es ilegible,1,D,49ca1924e43c94f8b11060e1640e408868d27bd47c52d66c4ea8894cda9e8e76,6/4/2017 22:45,6/4/2017 22:54,6/4/2017 22:54,P , ,
30,VERACRUZ,34,CATEMACO,650,1,E,0,2,2,132,247,249,45,3,3,26,44,25,79,2,2,3,1,5, , ,1,10,249,359, ,1,D,3461b9270f09e88742963c93d1c889cfdb2989082a1e5bababc6fd84e1c69ed5,6/4/2017 22:30,6/4/2017 22:44,6/4/2017 22:44,P , ,
30,VERACRUZ,34,CATEMACO,651,1,B,0,2,2,166,338,338,41,3,32,5,18,51,82,23,64,11,1,Sin dato, , ,Sin dato,6,337,482,Cantidad de votos en blanco,1,D,c231a33699c7b595d919471d6f0438f8fbeed861e8894b5974ec13efdf1820d8,6/4/2017 21:47,6/4/2017 22:22,6/4/2017 22:22,P , ,
30,VERACRUZ,34,CATEMACO,651,1,C,0,2,2,176,324,328,58,3,47,3,18,63,66,14,42,6,Sin dato,Sin dato, , ,Sin dato,8,328,482,Cantidad de votos en blanco,1,D,98d88549caa954a459823c65c108d99d6868e9a4f8baed13c5e78c2d8feb1572,6/4/2017 21:51,6/4/2017 22:04,6/4/2017 22:04,P , ,
30,VERACRUZ,34,CATEMACO,652,1,B,0,2,2,262,451,452,116,3,3,21,18,51,108,68,15,21,6,1, , ,6,Sin dato,437,692,Cantidad de votos en blanco,1,D,1dd4937f4bb334538bce3fd36948d26e92bd08af1e6a9081917ee1e3555de22a,6/4/2017 21:53,6/5/2017 10:23,6/5/2017 10:23,P ,1,
30,VERACRUZ,34,CATEMACO,652,1,C,0,2,2,256,458,458,105,3,24,18,47,127,59,31,10,10,1,7, , ,Sin dato,16,458,692,Cantidad de votos en blanco,1,D,db74ee9014cfc7fd23c6392d491225903f7afaab7ab37bad7b8569ca5c33c035,6/4/2017 22:29,6/4/2017 22:34,6/4/2017 22:34,C , ,
30,VERACRUZ,34,CATEMACO,653,1,B,0,2,2,205,329,335,31,1,8,5,76,92,53,14,38,5,0,4, , ,Sin dato,8,335,518,Cantidad de votos en blanco,1,D,c2fbcd7d374b2b829540d9fa021af6f52a658a9a619ca89d23611dfbbc994c1f,6/4/2017 22:34,6/4/2017 22:46,6/4/2017 22:46,P , ,
30,VERACRUZ,34,CATEMACO,653,1,E,0,2,2,130,280,280,20,3,26,41,8,85,51,11,19,2,4,1, , ,0,13,284,392, ,1,D,f268544550f5017db2f5a15bef8e3c65c28e785422b537142232843050e5975e,6/4/2017 22:02,6/4/2017 22:12,6/4/2017 22:12,P , ,
30,VERACRUZ,34,CATEMACO,653,1,E,1,2,2,131,282,282,23,Sin dato,31,25,9,73,56,12,43,2,Sin dato,Sin dato, , ,Sin dato,8,282,391,Cantidad de votos en blanco,1,D,b6cb17cdcecd5a9b3cb6aa267089c9d46495e4dddce77eb935dc18c5a0ecf4c3,6/4/2017 22:06,6/4/2017 22:18,6/4/2017 22:18,P , ,
30,VERACRUZ,34,CATEMACO,654,1,B,0,2,2,171,359,359,87,4,31,21,39,38,82,19,16,7,2,1, , ,0,12,359,509, ,1,D,faf866a5337c5ba47638a7d03fb7c5f91e5a67c4c5fef39e8494ac841f08f469,6/4/2017 22:03,6/4/2017 22:15,6/4/2017 22:15,P , ,
30,VERACRUZ,34,CATEMACO,654,1,C,0,2,2,161,358,370,97,2,20,16,34,68,76,22,16,3,1,1, , ,1,13,370,509, ,1,D,b062cf8e2c8959d6d9c9a1cafff740fb88b9480dea2c7917779ff6d560529cce,6/4/2017 22:05,6/4/2017 22:17,6/4/2017 22:17,P , ,
30,VERACRUZ,34,CATEMACO,654,2,C,0,2,2,166,362,364,110,1,24,12,39,48,75,20,13,5,1,4, , ,Sin dato,12,364,508,Cantidad de votos en blanco,1,D,f6f116f5d3911d11909f548eeae19d74a91cc8a5562a61d24b3c4aef1c8660cf,6/4/2017 21:56,6/4/2017 22:11,6/4/2017 22:11,P , ,
30,VERACRUZ,34,CATEMACO,655,1,B,0,2,2,215,340,346,51,5,49,4,63,82,35,10,34,Sin dato,Sin dato,Sin dato, , ,Sin dato,2,335,539,Cantidad de votos en blanco,1,D,7b31f07f6efcf6a8e3b62a923cc054c3fe623f8e029bb8b36c971d794fb44c91,6/4/2017 22:43,6/4/2017 22:53,6/4/2017 22:53,P , ,
30,VERACRUZ,34,CATEMACO,655,1,C,0,2,2,172,381,389,74,0,39,13,35,90,61,19,44,1,2,6, , ,0,5,389,539,Cantidad de votos en blanco,1,D,d8be478317a8223b20323d8900d4cbefad89208e7d49aecde716ec60fe0c9100,6/4/2017 22:29,6/4/2017 22:43,6/4/2017 22:44,P , ,
30,VERACRUZ,34,CATEMACO,655,2,C,0,2,2,185,372,375,75,0,51,10,43,89,52,7,38,1,1,3, , ,Sin dato,Sin dato,370,539,Cantidad de votos en blanco,1,D,e63d0fb112eb9776af7f326def8632b8bd6723221996694713f6f17bb4eadec2,6/4/2017 22:42,6/4/2017 22:52,6/4/2017 22:52,P , ,
